policy_country_iso_code,year,N,F,Sp,B,C,N_policies_matrix,N_options,FiscalFinancialIncentives,Market-basedInstruments,CodesStandards,OtherRegulatoryInstruments,RDD,InformationEducation,VoluntaryApproaches,BarrierRemoval,ClimateStrategy,Target,DirectInvestment,SUM_instruments,Economic instruments,Regulatory instruments,Other instruments,SUM_instruments_IPCC
AGO,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ALB,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ARE,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ARG,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ARM,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ATG,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
AUS,1991,1,1.0,2.0,,0.02,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1
AUT,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
AZE,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BDI,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BEL,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BEN,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BFA,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BGD,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BGR,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BHR,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BHS,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BIH,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BLR,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BLZ,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BOL,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BRA,1991,2,3.0,1.0,1.0,0.02,1,1,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,3,0.0,0.5,0.5,2
BRB,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BRN,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BTN,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
BWA,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CAF,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CAN,1991,1,1.0,1.0,1.0,0.0,0,0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2,0.5,0.0,0.5,2
CHE,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CHL,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CHN,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CIV,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CMR,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
COD,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
COK,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
COL,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CPV,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CRI,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CUB,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CYP,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
CZE,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
DEU,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
DJI,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
DMA,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
DNK,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
DOM,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
DZA,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ECU,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
EGY,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ERI,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ESP,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
EST,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
ETH,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
EUE,1991,2,1.0,2.0,0.8,0.02,2,1,0.0,0.0,0.4,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,5,0.0,0.6666666666666666,0.3333333333333333,3
FIN,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
FJI,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
FRA,1991,1,1.0,1.0,1.0,0.02,1,1,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1.0,1
FSM,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
GAB,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
GBR,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
GEO,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
GHA,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
GIN,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
GMB,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
GNB,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
GNQ,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
GRC,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
GRD,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
GRL,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
GTM,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
GUY,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
HND,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
HRV,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
HTI,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
HUN,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
IDN,1991,0,,,,0.0,0,0,,,,,,,,,,,,0,,,,0
